lat;lon;area;rent;condofee;IPTU;bedrooms
-19.972686;-43.937074;220;11000;1600;850;4
-19.921077;-43.937762;205;10000;2600;1060;4
-19.936871;-43.9423;205;10000;2600;1061;4
-19.921077;-43.937762;360;10000;2600;1150;4
-19.936871;-43.9423;205;10000;2600;11676;4
-19.931266;-43.941943;280;10870;1671;532;4
-19.941451;-43.919837;347;9000;3500;589;4
-19.86995;-43.977864;616;12500;0;1;5
-19.930326;-43.941965;350;10000;2500;769;4
-19.936399;-43.922468;3000;10000;2400;890;4
-19.93172;-43.941853;230;9800;2590;999;4
-19.929464;-43.944236;305;10000;2325;1379;4
-19.941451;-43.919837;365;8800;3500;459;4
-19.933979;-43.945288;455;3300000;2247;1194;4
-19.933327;-43.941406;260;10000;2233;0;4
-19.933327;-43.941406;280;10000;2230;900;4
-19.929196;-43.948181;300;10000;2200;1;4
-19.939208;-43.923613;248;9500;2700;1340;4
-19.940532;-43.923221;217;10000;2200;607;3
-19.971986;-43.942483;291;9000;3100;1120;4
-19.932699;-43.952631;205;10000;2090;1217;4
-19.933327;-43.941406;260;12000;10;700;4
-19.930825;-43.928031;800;10000;2000;1013;4
-19.930782;-43.954341;208;12000;0;0;4
-19.940656;-43.923147;492;12000;0;725;5
-19.935822;-43.926359;410;10000;2000;83;4
-19.987211;-44.032404;500;12000;0;0;5
-19.951751;-43.917501;784;12000;0;1;5
-19.958398;-43.951544;320;12000;0;782;4
-19.930782;-43.954341;208;3250000;0;0;4
-19.93551;-43.94159;260;9500;2400;1080;4
-19.941341;-43.920035;280;9000;2850;503;4
-19.940532;-43.923221;210;10000;1817;685;3
-19.971986;-43.942483;303;9000;2810;1300;4
-19.972758;-43.937005;240;9500;2300;900;4
-19.939208;-43.923613;250;9000;2700;1166;4
-19.941451;-43.919837;347;9000;2700;589;4
-19.949039;-43.919682;400;8695;3000;834;4
-19.937425;-43.929704;180;10000;1633;695;4
-19.977773;-43.944395;260;10000;1563;1090;3
-19.977773;-43.944395;260;10000;1560;1090;3
-19.946266;-43.918474;290;8000;3550;1450;3
-19.976106;-43.94176;230;9240;2300;1;4
-19.973697;-43.941358;362;8500;3000;680;4
-19.954182;-43.95514;373;11500;0;522;4
-19.963751;-43.949667;400;9000;2500;600;3
-19.937334;-43.933591;264;9500;2000;0;3
-19.935115;-43.931958;550;8500;2980;1828;4
-19.977632;-43.94479;260;10000;1450;1140;3
-19.94885;-43.950814;744;11000;450;3;6
-19.977632;-43.94479;260;10000;1450;1143;3
-19.951139;-43.932354;250;9000;2400;1094;4
-19.951139;-43.932354;251;9000;2400;1094;4
-19.976106;-43.94176;228;9000;2310;1320;4
-19.976106;-43.94176;222;9000;2310;1263;4
-19.976769;-43.942253;230;9000;2300;1000;4
